Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_246_1253,VPWR,li1,582.8200,682.7200,1.799997
FILLER_246_1241,VPWR,li1,579.1400,682.7200,1.799997
FILLER_246_1229,VPWR,li1,573.6200,682.7200,1.799996
FILLER_246_1217,VPWR,li1,568.1000,682.7200,1.799996
FILLER_246_1205,VPWR,li1,562.5800,682.7200,1.799996
FILLER_246_1203,VPWR,li1,559.1300,682.7200,1.799996
FILLER_246_1201,VPWR,li1,558.4400,682.7200,1.799996
FILLER_246_1197,VPWR,li1,557.0600,682.7200,1.799996
FILLER_246_1185,VPWR,li1,553.3800,682.7200,1.799995
FILLER_246_1173,VPWR,li1,547.8600,682.7200,1.799995
FILLER_246_1161,VPWR,li1,542.3400,682.7200,1.799995
FILLER_246_1149,VPWR,li1,536.8200,682.7200,1.799995
FILLER_246_1147,VPWR,li1,533.3700,682.7200,1.799995
FILLER_246_1145,VPWR,li1,532.6800,682.7200,1.799994
FILLER_246_1141,VPWR,li1,531.3000,682.7200,1.799994
FILLER_246_1129,VPWR,li1,527.6200,682.7200,1.799994
FILLER_246_1117,VPWR,li1,522.1000,682.7200,1.799994
FILLER_246_1105,VPWR,li1,516.5800,682.7200,1.799994
FILLER_246_1093,VPWR,li1,511.0600,682.7200,1.799993
FILLER_246_1091,VPWR,li1,507.6100,682.7200,1.799993
FILLER_246_1089,VPWR,li1,506.9200,682.7200,1.799993
FILLER_246_1085,VPWR,li1,505.5400,682.7200,1.799993
FILLER_246_1073,VPWR,li1,501.8600,682.7200,1.799993
FILLER_246_1061,VPWR,li1,496.3400,682.7200,1.799993
FILLER_246_1049,VPWR,li1,490.8200,682.7200,1.799992
FILLER_246_1037,VPWR,li1,485.3000,682.7200,1.799992
FILLER_246_1035,VPWR,li1,481.8500,682.7200,1.799992
FILLER_246_1033,VPWR,li1,481.1600,682.7200,1.799990
FILLER_246_1029,VPWR,li1,479.7800,682.7200,1.799990
FILLER_246_1017,VPWR,li1,476.1000,682.7200,1.799987
FILLER_246_1005,VPWR,li1,470.5800,682.7200,1.799981
FILLER_246_993,VPWR,li1,465.0600,682.7200,1.799978
FILLER_246_981,VPWR,li1,459.5400,682.7200,1.799973
FILLER_246_979,VPWR,li1,456.0900,682.7200,1.799970
FILLER_246_977,VPWR,li1,455.4000,682.7200,1.799970
FILLER_246_965,VPWR,li1,452.1800,682.7200,1.799967
FILLER_246_953,VPWR,li1,446.6600,682.7200,1.799962
FILLER_246_937,VPWR,li1,438.3800,682.7200,1.799954
