Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_246_1273,VGND,li1,593.8600,680.0000,0.000002
FILLER_246_1261,VGND,li1,588.3400,680.0000,0.000002
FILLER_246_1259,VGND,li1,584.8900,680.0000,0.000002
FILLER_246_1257,VGND,li1,584.2000,680.0000,0.000002
FILLER_246_1253,VGND,li1,582.8200,680.0000,0.000002
FILLER_246_1241,VGND,li1,579.1400,680.0000,0.000002
FILLER_246_1229,VGND,li1,573.6200,680.0000,0.000002
FILLER_246_1217,VGND,li1,568.1000,680.0000,0.000003
FILLER_246_1205,VGND,li1,562.5800,680.0000,0.000003
FILLER_246_1203,VGND,li1,559.1300,680.0000,0.000003
FILLER_246_1201,VGND,li1,558.4400,680.0000,0.000003
FILLER_246_1197,VGND,li1,557.0600,680.0000,0.000003
FILLER_246_1185,VGND,li1,553.3800,680.0000,0.000003
FILLER_246_1173,VGND,li1,547.8600,680.0000,0.000003
FILLER_246_1161,VGND,li1,542.3400,680.0000,0.000003
FILLER_246_1149,VGND,li1,536.8200,680.0000,0.000004
FILLER_246_1147,VGND,li1,533.3700,680.0000,0.000004
FILLER_246_1145,VGND,li1,532.6800,680.0000,0.000004
FILLER_246_1141,VGND,li1,531.3000,680.0000,0.000004
FILLER_246_1129,VGND,li1,527.6200,680.0000,0.000004
FILLER_246_1117,VGND,li1,522.1000,680.0000,0.000004
FILLER_246_1105,VGND,li1,516.5800,680.0000,0.000004
FILLER_246_1093,VGND,li1,511.0600,680.0000,0.000004
FILLER_246_1091,VGND,li1,507.6100,680.0000,0.000004
FILLER_246_1089,VGND,li1,506.9200,680.0000,0.000005
FILLER_246_1085,VGND,li1,505.5400,680.0000,0.000005
FILLER_246_1073,VGND,li1,501.8600,680.0000,0.000005
FILLER_246_1061,VGND,li1,496.3400,680.0000,0.000005
FILLER_246_1049,VGND,li1,490.8200,680.0000,0.000005
FILLER_246_1037,VGND,li1,485.3000,680.0000,0.000005
FILLER_246_1035,VGND,li1,481.8500,680.0000,0.000007
FILLER_246_1033,VGND,li1,481.1600,680.0000,0.000008
FILLER_246_1029,VGND,li1,479.7800,680.0000,0.000008
FILLER_246_1017,VGND,li1,476.1000,680.0000,0.000010
FILLER_246_1005,VGND,li1,470.5800,680.0000,0.000014
FILLER_246_993,VGND,li1,465.0600,680.0000,0.000016
FILLER_246_981,VGND,li1,459.5400,680.0000,0.000019
FILLER_246_979,VGND,li1,456.0900,680.0000,0.000022
FILLER_246_977,VGND,li1,455.4000,680.0000,0.000022
FILLER_246_965,VGND,li1,452.1800,680.0000,0.000023
FILLER_246_953,VGND,li1,446.6600,680.0000,0.000027
FILLER_246_937,VGND,li1,438.3800,680.0000,0.000031
FILLER_246_925,VGND,li1,433.7800,680.0000,0.000034
FILLER_246_923,VGND,li1,430.3300,680.0000,0.000036
FILLER_246_921,VGND,li1,429.6400,680.0000,0.000036
FILLER_246_909,VGND,li1,426.4200,680.0000,0.000038
FILLER_246_897,VGND,li1,420.9000,680.0000,0.000040
FILLER_246_885,VGND,li1,415.3800,680.0000,0.000044
FILLER_246_811,VGND,li1,378.8100,680.0000,0.000048
FILLER_246_797,VGND,li1,372.6000,680.0000,0.000047
FILLER_246_783,VGND,li1,365.9300,680.0000,0.000045
FILLER_246_769,VGND,li1,359.4900,680.0000,0.000042
FILLER_246_765,VGND,li1,358.3400,680.0000,0.000042
FILLER_246_754,VGND,li1,352.8200,680.0000,0.000037
FILLER_246_747,VGND,li1,349.6000,680.0000,0.000036
FILLER_246_739,VGND,li1,347.3000,680.0000,0.000034
