net,length_um
net1620,425.5µm
net1490,425.24µm
net903,424.87µm
net711,424.55µm
net520,424.33µm
_09701_,424.16µm
net717,423.84µm
net273,423.835µm
_11146_,423.63µm
_08423_,423.51µm
net1379,423.44µm
net400,423.29µm
net1108,422.705µm
_07877_,422.61µm
net1659,422.1µm
net2266,421.98µm
net917,421.9µm
net1482,421.595µm
net1783,421.36µm
net1183,421.315µm
net834,421.19µm
net2005,421.1µm
net995,420.54µm
net796,419.865µm
net1526,418.32µm
net913,417.92µm
net2021,417.74µm
net358,417.005µm
net912,416.92µm
net143,416.79µm
net1785,415.275µm
net1585,414.985µm
net1037,414.71µm
net695,414.42µm
net1684,413.665µm
net1000,413.55µm
net146,413.275µm
net1735,413.21µm
net1061,413.18µm
net1220,413µm
net281,412.41µm
net576,412.37µm
net511,412.15µm
net223,411.585µm
net725,409.55µm
net2118,409.29µm
net1251,408.945µm
net2123,408.82µm
net154,407.92µm
net1117,407.375µm
_10742_,405.94µm
_09665_,405.32µm
net774,405.065µm
net978,404.47µm
net1087,404.38µm
net1587,404.17µm
net495,403.76µm
net1631,403.61µm
net389,403.31µm
net1064,403.13µm
net679,403.11µm
_06147_,402.63µm
net1286,402.58µm
net1854,402.26µm
net1441,401.665µm
net1452,400.78µm
net680,400.77µm
net1294,399.905µm
net1576,399.635µm
net819,399.62µm
net367,399.42µm
net1065,399.17µm
net2817,399.11µm
net750,399.04µm
net773,397.85µm
_05383_,397.64µm
net1396,397.15µm
net313,397.12µm
net881,396.51µm
net1424,395.86µm
net1179,395.65µm
net1716,395.06µm
_10791_,395.01µm
_09725_,394.55µm
net1166,394.545µm
net1677,394.29µm
net470,393.81µm
net752,393.805µm
_07497_,393.62µm
net1038,392.995µm
_09746_,392.89µm
net1180,392.86µm
net537,392.32µm
net474,392.26µm
net1900,392.12µm
net815,392.04µm
net962,391.86µm
net150,391.4µm
net491,391.365µm
net366,390.99µm
net980,390.78µm
net569,390.67µm
net1270,389.84µm
_09719_,389.76µm
net986,388.94µm
net1616,387.985µm
_09753_,387.97µm
net460,387.86µm
net841,387.7µm
net153,387.38µm
net404,387.34µm
_04649_,387.31µm
net328,386µm
net2172,385.96µm
net315,385.54µm
net1107,385.46µm
net158,385.02µm
net1401,384.625µm
_07738_,384.46µm
net264,384.28µm
net963,383.65µm
net1819,383.57µm
net1953,383.36µm
net2140,383.28µm
net2186,383.11µm
_09800_,383.09µm
net2079,382.805µm
net920,382.585µm
net540,382.325µm
net971,381.915µm
net249,381.47µm
net627,381.44µm
net443,380.95µm
net225,380.71µm
net756,380.705µm
net1101,379.9µm
net571,377.835µm
net1680,377.81µm
net1460,377.8µm
net2424,377.615µm
net802,377.6µm
net2065,377.56µm
net1096,377.525µm
net2425,376.98µm
net1269,376.68µm
net1359,376.59µm
_05262_,376.01µm
net1883,376µm
net2100,375.88µm
net570,375.87µm
net1231,375.675µm
_09657_,375.32µm
net1106,375.18µm
net878,374.965µm
net955,374.65µm
net674,373.2µm
net1935,373.02µm
net1338,372.765µm
net965,372.22µm
net2819,372.19µm
net1548,372.05µm
_04522_,371.95µm
net515,371.66µm
net589,371.335µm
net884,371.33µm
net122,371.31µm
net1266,370.62µm
net1301,370.07µm
net928,369.535µm
net1143,369.22µm
net1886,368.49µm
net751,368.31µm
net646,367.97µm
net564,367.61µm
net2165,367.06µm
_04798_,366.71µm
net316,366.275µm
net2218,366.1µm
net671,366.08µm
net666,365.7µm
net1240,365.655µm
_09718_,365.53µm
net1364,365.515µm
net907,364.77µm
net518,364.745µm
net1872,364.63µm
net244,364.6µm
net1522,364.59µm
net651,364.15µm
_11113_,364.13µm
net487,363.88µm
_10977_,363.49µm
net1612,363.46µm
net1139,363.38µm
net256,363.13µm
net1714,362.38µm
net1627,361.77µm
net959,361.585µm
net530,361.23µm
net551,361.23µm
net192,360.82µm
net2226,360.82µm
net902,360.755µm
net1346,358.88µm
net1718,358.69µm
_06079_,358.3µm
net611,357.93µm
net548,357.875µm
net1539,357.77µm
_07806_,357.155µm
net2236,356.68µm
_09731_,355.84µm
net1654,355.78µm
net408,355.64µm
net1044,355.46µm
net1127,355.46µm
net1669,355.45µm
_09627_,354.87µm
_09695_,354.85µm
net1081,354.795µm
net757,354.23µm
net1383,354.16µm
net1682,353.92µm
_09567_,353.87µm
net2016,353.8µm
net1016,353.4µm
net159,353.34µm
net1415,353.095µm
net177,352.97µm
net514,352.74µm
net782,352.67µm
net1062,352.32µm
net1622,352.265µm
net141,351.74µm
net2152,351.49µm
net880,351.23µm
net2104,350.915µm
net1817,350.24µm
net1850,350.14µm
net290,349.655µm
net383,349.1µm
net2263,349.08µm
net442,348.96µm
net458,348.62µm
net947,348.2µm
net1816,347.44µm
net1216,346.51µm
net72,346.49µm
net825,345.79µm
net1865,345.64µm
net270,344.14µm
net1944,344µm
_09602_,343.83µm
net740,343.12µm
_05234_,342.555µm
net1413,342.52µm
net736,340.4µm
net321,340.19µm
net2825,340.155µm
net804,339.92µm
net340,339.52µm
net1411,339.475µm
net606,339.4µm
net601,339.2µm
net1957,339.12µm
net586,338.96µm
net1995,338.62µm
_09805_,338.37µm
net180,338.37µm
net935,338.345µm
net1752,338.33µm
net1502,338.29µm
net178,338.08µm
net916,338.08µm
net259,337.885µm
net1887,337.88µm
net129,337.8µm
net1197,337.29µm
net155,337.16µm
_09653_,335.99µm
net292,335.735µm
_05311_,335.67µm
net1642,335.495µm
_05189_,335.37µm
_09681_,335.25µm
net1936,335.175µm
net193,334.875µm
net1606,334.81µm
net614,334.215µm
net1171,334.03µm
net212,333.96µm
net1471,333.52µm
net561,333.34µm
net303,333.26µm
net754,333.205µm
net509,332.99µm
_09659_,332.92µm
net357,332.44µm
net1105,332.43µm
net1849,332.42µm
net2044,332.31µm
net1103,332.125µm
net253,332.01µm
net950,331.98µm
net376,331.22µm
_09285_,331.2µm
_07705_,331.1µm
net138,330.785µm
net549,330.62µm
net610,330.59µm
net964,330.34µm
net918,330.08µm
net765,329.78µm
net1836,329.23µm
net74,329.2µm
net536,329.02µm
net1950,328.42µm
_09750_,328.35µm
net1803,328.29µm
net846,328.22µm
net1626,328.22µm
net2034,328.175µm
net306,327.97µm
net737,327.725µm
net2121,327.715µm
_09728_,327.6µm
_09599_,327.22µm
net1786,326.865µm
_10935_,326.84µm
net1328,326.52µm
_07601_,325.93µm
net1389,325.5µm
